text,label,label_name,prediction,prediction_name,score
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,0,Negatif,0.4606819437430837
Matchanya sangat enak.,1,Positif,1,Positif,0.9945454545454546
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,1,Positif,0.8888161463959954
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,0,Negatif,0.45716466011714424
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,1,Positif,0.5702796091843061
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,1,Positif,0.918816662118345
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,1,Positif,0.7098049014015719
Wajib dicoba!,1,Positif,1,Positif,0.8355622843934347
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,1,Positif,0.7026377642064715
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,0,Negatif,0.45597345811993395
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,1,Positif,0.8354291677915046
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,1,Positif,0.9968673812780777
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,1,Positif,0.7938313944005553
Suasananya sangat nyaman.,1,Positif,1,Positif,0.6730845774994743
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,1,Positif,0.8563858344060596
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,1,Positif,0.5868184228843317
Tempatnya sangat bagus dan nyaman.,1,Positif,1,Positif,0.9843023023260705
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,1,Positif,0.538137861572905
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,1,Positif,0.7729729902298152
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,1,Positif,0.6954424473985379
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,1,Positif,0.9124742014008637
Tempat yang nyaman untuk menikmati matcha.,1,Positif,1,Positif,0.9433566619500345
"Tempat terbaik untuk mendapatkan matcha premium berkualitas tinggi. Rasa matcha-nya sangat pekat, tidak terlalu manis, dan saya sangat menyukainya. Wajib dicoba bagi para pecinta matcha.",1,Positif,1,Positif,0.9906557283766361
Tempat terbaik untuk menikmati matcha di Jakarta.,1,Positif,1,Positif,0.9561505058031612
Kedai teh yang sangat baik untuk menikmati teh hijau.,1,Positif,0,Negatif,0.2327045572969338
Tempatnya sangat nyaman; matcha milk menjadi favorit saya. Saya juga sudah memesan plain croissant untuk ketiga kalinya.,1,Positif,1,Positif,0.9359585169964005
Ini merupakan tempat berkumpul terbaik bagi anak muda di Jakarta Selatan.,1,Positif,1,Positif,0.7683124818013423
"Tempatnya sangat baik, pilihan minuman matcha beragam, begitu pula dengan makanannya. Sangat memuaskan.",1,Positif,1,Positif,0.9699580696794319
Tempatnya nyaman.,1,Positif,1,Positif,0.9054893078381043
Tempatnya nyaman dan pelayanannya sangat menyenangkan. Staf yang bertugas sangat baik serta profesional. Saya sering berkunjung ke sini.,1,Positif,0,Negatif,0.41815819580653624
nan,1,Positif,0,Negatif,0.38203166333697297
Suasananya nyaman dan makanannya lezat.,1,Positif,1,Positif,0.9622871653576942
Tempat nyaman untuk WFH dan pelayanan ramah.,1,Positif,1,Positif,0.9988058978105655
