text,label,label_name,prediction,prediction_name,score
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,0,Negatif,0.3050801901163211
Matchanya sangat enak.,1,Positif,1,Positif,0.9991731605870808
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,1,Positif,0.9989747029212933
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,1,Positif,0.7368168552881839
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,1,Positif,0.793985398431673
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,1,Positif,0.9988768753315782
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,1,Positif,0.9813616893133921
Wajib dicoba!,1,Positif,1,Positif,0.9956490602404819
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,1,Positif,0.9289196034473735
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,1,Positif,0.5205709674802118
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,1,Positif,0.9944826971079513
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,1,Positif,0.9993761481798638
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,1,Positif,0.9929529966282593
Suasananya sangat nyaman.,1,Positif,1,Positif,0.6356096739382162
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,1,Positif,0.9935862746334189
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,1,Positif,0.9131775668008846
Tempatnya sangat bagus dan nyaman.,1,Positif,1,Positif,0.9987743653379106
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,1,Positif,0.7045172851090955
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,1,Positif,0.957299870647692
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,1,Positif,0.9746136201377562
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,1,Positif,0.9951203954555489
Tempat yang nyaman untuk menikmati matcha.,1,Positif,1,Positif,0.998832915382386
"Tempat terbaik untuk mendapatkan matcha premium berkualitas tinggi. Rasa matcha-nya sangat pekat, tidak terlalu manis, dan saya sangat menyukainya. Wajib dicoba bagi para pecinta matcha.",1,Positif,1,Positif,0.9994468265275758
Tempat terbaik untuk menikmati matcha di Jakarta.,1,Positif,1,Positif,0.9994429422355992
Kedai teh yang sangat baik untuk menikmati teh hijau.,1,Positif,0,Negatif,0.033011093357968535
Tempatnya sangat nyaman; matcha milk menjadi favorit saya. Saya juga sudah memesan plain croissant untuk ketiga kalinya.,1,Positif,1,Positif,0.9985003406913024
Ini merupakan tempat berkumpul terbaik bagi anak muda di Jakarta Selatan.,1,Positif,1,Positif,0.9780878652475767
"Tempatnya sangat baik, pilihan minuman matcha beragam, begitu pula dengan makanannya. Sangat memuaskan.",1,Positif,1,Positif,0.9993104189400426
Tempatnya nyaman.,1,Positif,1,Positif,0.9982402437215152
Tempatnya nyaman dan pelayanannya sangat menyenangkan. Staf yang bertugas sangat baik serta profesional. Saya sering berkunjung ke sini.,1,Positif,0,Negatif,0.48369639582953244
nan,1,Positif,0,Negatif,0.11393677822052801
Suasananya nyaman dan makanannya lezat.,1,Positif,1,Positif,0.9994631424567004
Tempat nyaman untuk WFH dan pelayanan ramah.,1,Positif,1,Positif,0.9995212587882693
Tempat nyaman untuk nongkrong.,1,Positif,1,Positif,0.9986404741536188
"Tempat nyaman untuk meeting, staf sangat profesional dan ramah.",1,Positif,1,Positif,0.9963506927286024
Tempat nyaman untuk kerja.,1,Positif,1,Positif,0.9955492295312445
"Tempat nyaman karena berada di mall. Pelayanan ramah dan cepat. Matcha milk memiliki rasa dominan matcha, tidak terlalu manis dan cukup seimbang.",1,Positif,1,Positif,0.9995929955725384
Tempat nyaman dengan matcha enak.,1,Positif,1,Positif,0.9995391976190219
Tempat nyaman dan pelayanan ramah.,1,Positif,1,Positif,0.9994690906780851
Tempat nyaman dan pelayanan baik.,1,Positif,1,Positif,0.9995481636798723
Tempat nyaman dan matchanya enak.,1,Positif,1,Positif,0.999474572880043
Tempat nyaman dan makanan sesuai selera.,1,Positif,1,Positif,0.9957585176523763
Tempat nyaman dan bersih.,1,Positif,1,Positif,0.9986105063066688
"Tempat menarik, matcha berkualitas tapi mahal dan service standar.",1,Positif,1,Positif,0.9975713706997286
Tempat memiliki suasana nyaman dengan minuman matcha berkualitas tinggi dan pelayanan baik.,1,Positif,1,Positif,0.9994686340262892
Tempat matcha terbaik di Jakarta Selatan dengan rasa tidak terlalu manis namun sangat enak. Hojicha milk menjadi menu favorit. Cocok dipadukan dengan dessert seperti almond croissant. Pelayanan baik dan tempat bersih.,1,Positif,1,Positif,0.9994985150818209
Tempat ini menawarkan desain yang mewah dan modern.,1,Positif,1,Positif,0.9737852189918111
Tempat ini berfokus pada matcha dengan berbagai pilihan menu.,1,Positif,1,Positif,0.9982600000464166
Tempat favorit.,1,Positif,1,Positif,0.9964443305980902
Tempat enak untuk makan dan santai.,1,Positif,1,Positif,0.9972482080424756
Tempat dan suasana sangat baik.,1,Positif,1,Positif,0.9983729037578075
Tempat dan makanan enak.,1,Positif,1,Positif,0.9995749987715377
Tempat cozy dan pelayanan ramah.,1,Positif,1,Positif,0.9994312233659964
Tempat cozy dan makanan enak.,1,Positif,1,Positif,0.9995749987715377
Tempat cocok untuk WFA dan menu enak.,1,Positif,1,Positif,0.9984385969169635
Tempat cocok untuk pecinta matcha.,1,Positif,1,Positif,0.9990050654287622
Tempat bersih dan nyaman untuk kerja.,1,Positif,1,Positif,0.9954927958334024
Tempat bersih dan menu variatif.,1,Positif,1,Positif,0.9984999420977798
