text,label,label_name,prediction,prediction_name,score
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,1,Positif,0.5106517200515353
Matchanya sangat enak.,1,Positif,1,Positif,0.9972892773210011
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,1,Positif,0.8116516682346071
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,0,Negatif,0.4110023984532188
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,0,Negatif,0.4964858160752416
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,1,Positif,0.9796143588239274
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,1,Positif,0.8032313452688062
Wajib dicoba!,1,Positif,1,Positif,0.9985117508203303
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,1,Positif,0.7690875350585221
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,0,Negatif,0.47965593344484525
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,1,Positif,0.895822677847188
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,1,Positif,0.9974364453807061
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,1,Positif,0.8689051664458431
Suasananya sangat nyaman.,1,Positif,1,Positif,0.8987817661054989
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,1,Positif,0.9175398055878476
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,1,Positif,0.7580814780349191
Tempatnya sangat bagus dan nyaman.,1,Positif,1,Positif,0.9933332682446127
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,1,Positif,0.6047731846021128
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,1,Positif,0.8587627425363807
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,1,Positif,0.6396271608057406
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,1,Positif,0.9130808087844721
Tempat yang nyaman untuk menikmati matcha.,1,Positif,1,Positif,0.9773305550230639
"Tempat terbaik untuk mendapatkan matcha premium berkualitas tinggi. Rasa matcha-nya sangat pekat, tidak terlalu manis, dan saya sangat menyukainya. Wajib dicoba bagi para pecinta matcha.",1,Positif,1,Positif,0.957628932903188
Tempat terbaik untuk menikmati matcha di Jakarta.,1,Positif,1,Positif,0.977268031162986
Kedai teh yang sangat baik untuk menikmati teh hijau.,1,Positif,0,Negatif,0.1814167309231963
Tempatnya sangat nyaman; matcha milk menjadi favorit saya. Saya juga sudah memesan plain croissant untuk ketiga kalinya.,1,Positif,1,Positif,0.9176980560228055
Ini merupakan tempat berkumpul terbaik bagi anak muda di Jakarta Selatan.,1,Positif,1,Positif,0.8496220521544411
"Tempatnya sangat baik, pilihan minuman matcha beragam, begitu pula dengan makanannya. Sangat memuaskan.",1,Positif,1,Positif,0.9783739579857579
Tempatnya nyaman.,1,Positif,1,Positif,0.9979531359726846
Tempatnya nyaman dan pelayanannya sangat menyenangkan. Staf yang bertugas sangat baik serta profesional. Saya sering berkunjung ke sini.,1,Positif,0,Negatif,0.48386293043898704
nan,1,Positif,0,Negatif,0.34230972726765796
Suasananya nyaman dan makanannya lezat.,1,Positif,1,Positif,0.9856768040438197
Tempat nyaman untuk WFH dan pelayanan ramah.,1,Positif,1,Positif,0.9924001925612842
Tempat nyaman untuk nongkrong.,1,Positif,1,Positif,0.9910509493913283
"Tempat nyaman untuk meeting, staf sangat profesional dan ramah.",1,Positif,1,Positif,0.924745337694543
Tempat nyaman untuk kerja.,1,Positif,1,Positif,0.9743920413875354
"Tempat nyaman karena berada di mall. Pelayanan ramah dan cepat. Matcha milk memiliki rasa dominan matcha, tidak terlalu manis dan cukup seimbang.",1,Positif,1,Positif,0.9369752865950087
Tempat nyaman dengan matcha enak.,1,Positif,1,Positif,0.9981331939628406
Tempat nyaman dan pelayanan ramah.,1,Positif,1,Positif,0.9966314231659827
Tempat nyaman dan pelayanan baik.,1,Positif,1,Positif,0.9982428544550077
Tempat nyaman dan matchanya enak.,1,Positif,1,Positif,0.9995882114769404
Tempat nyaman dan makanan sesuai selera.,1,Positif,1,Positif,0.9465487437258004
Tempat nyaman dan bersih.,1,Positif,1,Positif,0.9945321471608705
"Tempat menarik, matcha berkualitas tapi mahal dan service standar.",1,Positif,1,Positif,0.9076038735229165
Tempat memiliki suasana nyaman dengan minuman matcha berkualitas tinggi dan pelayanan baik.,1,Positif,1,Positif,0.9918839680281912
Tempat matcha terbaik di Jakarta Selatan dengan rasa tidak terlalu manis namun sangat enak. Hojicha milk menjadi menu favorit. Cocok dipadukan dengan dessert seperti almond croissant. Pelayanan baik dan tempat bersih.,1,Positif,1,Positif,0.9460027438791879
Tempat ini menawarkan desain yang mewah dan modern.,1,Positif,1,Positif,0.7759168388628129
Tempat ini berfokus pada matcha dengan berbagai pilihan menu.,1,Positif,1,Positif,0.9443266385682095
Tempat favorit.,1,Positif,1,Positif,0.9977509575848238
Tempat enak untuk makan dan santai.,1,Positif,1,Positif,0.9800725137228242
Tempat dan suasana sangat baik.,1,Positif,1,Positif,0.973121166061189
Tempat dan makanan enak.,1,Positif,1,Positif,0.998049248749942
Tempat cozy dan pelayanan ramah.,1,Positif,1,Positif,0.9975716847352943
Tempat cozy dan makanan enak.,1,Positif,1,Positif,0.9980688234005118
Tempat cocok untuk WFA dan menu enak.,1,Positif,1,Positif,0.9859556171483191
Tempat cocok untuk pecinta matcha.,1,Positif,1,Positif,0.9963499319139077
Tempat bersih dan nyaman untuk kerja.,1,Positif,1,Positif,0.953888357374287
Tempat bersih dan menu variatif.,1,Positif,1,Positif,0.9760655309683747
Tempat bagus.,1,Positif,1,Positif,0.9991380511216396
Tempat bagus untuk nongkrong.,1,Positif,1,Positif,0.9799538485605935
Tempat bagus untuk coba matcha.,1,Positif,1,Positif,0.9950318710077595
Tempat bagus dengan rasa yang enak.,1,Positif,1,Positif,0.9875732675007174
Tempat bagus dan nyaman.,1,Positif,1,Positif,0.9987447884095492
Suka matcha milk dan ambience.,1,Positif,1,Positif,0.997331668913736
"Suka ambience, ingin kembali.",1,Positif,1,Positif,0.9160048094699748
Suasana tempat baik dan terlihat baru.,1,Positif,1,Positif,0.8829157112411905
Suasana dan makanan baik.,1,Positif,1,Positif,0.9873375187169156
"Staf ramah, suasana nyaman, dan matcha sangat enak.",1,Positif,1,Positif,0.9871957743186639
Staf ramah dan membantu.,1,Positif,1,Positif,0.9422653782938577
Staf ramah dan matcha enak.,1,Positif,1,Positif,0.9925439067696386
Spesialis matcha dan dessert.,1,Positif,1,Positif,0.9987027330933
"Sop iga, teh, kopi, dan es krim enak.",1,Positif,1,Positif,0.8048647987402391
Soft serve matcha sangat baik dan direkomendasikan untuk pecinta matcha. Mac and cheese juga sangat enak.,1,Positif,1,Positif,0.9571311174363415
Soft ice cream enak.,1,Positif,1,Positif,0.999495611987192
Signature matcha enak.,1,Positif,1,Positif,0.9997311428802522
Signature koicha milk enak dan autentik.,1,Positif,1,Positif,0.9994876218376713
"Signature Koicha enak, rasa matchanya terasa. Es krim matchanya juga enak dan tidak terlalu manis, teksturnya lembut. Mochinya juga lembut. Matcha terbaik.",1,Positif,1,Positif,0.920840235622506
"Signature koicha enak, matcha milk lebih murah dan tetap enak.",1,Positif,1,Positif,0.984183158446888
Signature Koicha enak tetapi mahal.,1,Positif,1,Positif,0.9877462425171436
