text,label,label_name,prediction,prediction_name,score
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,1,Positif,0.04995712627449217
Matchanya sangat enak.,1,Positif,1,Positif,2.987176164425593
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,1,Positif,0.4688736204790175
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,0,Negatif,-0.043874566142234894
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,1,Positif,0.004600799802453537
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,1,Positif,1.5837915660394968
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,1,Positif,0.7792677950212705
Wajib dicoba!,1,Positif,1,Positif,2.3695077349645093
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,1,Positif,0.7333270095169028
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,0,Negatif,-0.09551013713838791
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,1,Positif,0.8708606853087117
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,1,Positif,3.2270125413235196
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,1,Positif,0.9409416222606225
Suasananya sangat nyaman.,1,Positif,1,Positif,0.8643968061768438
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,1,Positif,1.49550098557426
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,1,Positif,0.8071081244225732
Tempatnya sangat bagus dan nyaman.,1,Positif,1,Positif,2.5055232526055513
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,1,Positif,0.1548299344553248
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,1,Positif,0.8981270831497221
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,1,Positif,0.2624589496187677
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,1,Positif,0.9898361035102379
Tempat yang nyaman untuk menikmati matcha.,1,Positif,1,Positif,1.6179723085760136
"Tempat terbaik untuk mendapatkan matcha premium berkualitas tinggi. Rasa matcha-nya sangat pekat, tidak terlalu manis, dan saya sangat menyukainya. Wajib dicoba bagi para pecinta matcha.",1,Positif,1,Positif,1.551112548769666
Tempat terbaik untuk menikmati matcha di Jakarta.,1,Positif,1,Positif,2.140447269662232
Kedai teh yang sangat baik untuk menikmati teh hijau.,1,Positif,0,Negatif,-0.9874638705915587
Tempatnya sangat nyaman; matcha milk menjadi favorit saya. Saya juga sudah memesan plain croissant untuk ketiga kalinya.,1,Positif,1,Positif,1.2629123295492075
Ini merupakan tempat berkumpul terbaik bagi anak muda di Jakarta Selatan.,1,Positif,1,Positif,0.9578260625558519
"Tempatnya sangat baik, pilihan minuman matcha beragam, begitu pula dengan makanannya. Sangat memuaskan.",1,Positif,1,Positif,2.163049393587328
Tempatnya nyaman.,1,Positif,1,Positif,3.200815589577223
Tempatnya nyaman dan pelayanannya sangat menyenangkan. Staf yang bertugas sangat baik serta profesional. Saya sering berkunjung ke sini.,1,Positif,0,Negatif,-0.16859735214300298
nan,1,Positif,1,Positif,0.05089176153614452
Suasananya nyaman dan makanannya lezat.,1,Positif,1,Positif,2.2239409795661955
Tempat nyaman untuk WFH dan pelayanan ramah.,1,Positif,1,Positif,2.2998444268938405
Tempat nyaman untuk nongkrong.,1,Positif,1,Positif,2.4798987459742188
"Tempat nyaman untuk meeting, staf sangat profesional dan ramah.",1,Positif,1,Positif,1.2897454812865854
Tempat nyaman untuk kerja.,1,Positif,1,Positif,1.842667516885098
"Tempat nyaman karena berada di mall. Pelayanan ramah dan cepat. Matcha milk memiliki rasa dominan matcha, tidak terlalu manis dan cukup seimbang.",1,Positif,1,Positif,1.5385066640827705
Tempat nyaman dengan matcha enak.,1,Positif,1,Positif,3.358838830771835
Tempat nyaman dan pelayanan ramah.,1,Positif,1,Positif,2.3621830768770034
Tempat nyaman dan pelayanan baik.,1,Positif,1,Positif,3.273559620655245
Tempat nyaman dan matchanya enak.,1,Positif,1,Positif,4.315871044656926
Tempat nyaman dan makanan sesuai selera.,1,Positif,1,Positif,1.5095737253875523
Tempat nyaman dan bersih.,1,Positif,1,Positif,2.594330136228249
"Tempat menarik, matcha berkualitas tapi mahal dan service standar.",1,Positif,1,Positif,1.3346191053891603
Tempat memiliki suasana nyaman dengan minuman matcha berkualitas tinggi dan pelayanan baik.,1,Positif,1,Positif,2.3761424863013105
Tempat matcha terbaik di Jakarta Selatan dengan rasa tidak terlalu manis namun sangat enak. Hojicha milk menjadi menu favorit. Cocok dipadukan dengan dessert seperti almond croissant. Pelayanan baik dan tempat bersih.,1,Positif,1,Positif,1.5112979890224163
Tempat ini menawarkan desain yang mewah dan modern.,1,Positif,1,Positif,0.7846826742820106
Tempat ini berfokus pada matcha dengan berbagai pilihan menu.,1,Positif,1,Positif,1.506591634218503
Tempat favorit.,1,Positif,1,Positif,3.03034072909576
Tempat enak untuk makan dan santai.,1,Positif,1,Positif,2.06808407329529
Tempat dan suasana sangat baik.,1,Positif,1,Positif,1.6031893744080303
Tempat dan makanan enak.,1,Positif,1,Positif,3.0737664107812352
Tempat cozy dan pelayanan ramah.,1,Positif,1,Positif,3.089704351644014
Tempat cozy dan makanan enak.,1,Positif,1,Positif,3.0540899934931587
Tempat cocok untuk WFA dan menu enak.,1,Positif,1,Positif,2.3513607777652368
Tempat cocok untuk pecinta matcha.,1,Positif,1,Positif,2.6348382468979894
Tempat bersih dan nyaman untuk kerja.,1,Positif,1,Positif,1.360556083526269
Tempat bersih dan menu variatif.,1,Positif,1,Positif,1.7665683867071267
Tempat bagus.,1,Positif,1,Positif,3.367496162718209
Tempat bagus untuk nongkrong.,1,Positif,1,Positif,2.1934328990299345
Tempat bagus untuk coba matcha.,1,Positif,1,Positif,2.693596133208629
Tempat bagus dengan rasa yang enak.,1,Positif,1,Positif,2.287191344936294
Tempat bagus dan nyaman.,1,Positif,1,Positif,3.48367676155114
Suka matcha milk dan ambience.,1,Positif,1,Positif,3.2153213095654705
"Suka ambience, ingin kembali.",1,Positif,1,Positif,1.1627411624082964
Suasana tempat baik dan terlihat baru.,1,Positif,1,Positif,1.231666763133754
Suasana dan makanan baik.,1,Positif,1,Positif,2.185663401446021
"Staf ramah, suasana nyaman, dan matcha sangat enak.",1,Positif,1,Positif,2.373506674761098
Staf ramah dan membantu.,1,Positif,1,Positif,1.5941315014280208
Staf ramah dan matcha enak.,1,Positif,1,Positif,2.4577668643138137
Spesialis matcha dan dessert.,1,Positif,1,Positif,3.108847838501931
"Sop iga, teh, kopi, dan es krim enak.",1,Positif,1,Positif,1.3164170099680077
Soft serve matcha sangat baik dan direkomendasikan untuk pecinta matcha. Mac and cheese juga sangat enak.,1,Positif,1,Positif,1.615616866108195
Soft ice cream enak.,1,Positif,1,Positif,3.199936380195985
Signature matcha enak.,1,Positif,1,Positif,4.532047076373592
Signature koicha milk enak dan autentik.,1,Positif,1,Positif,3.6987398856435063
"Signature Koicha enak, rasa matchanya terasa. Es krim matchanya juga enak dan tidak terlalu manis, teksturnya lembut. Mochinya juga lembut. Matcha terbaik.",1,Positif,1,Positif,1.3873354214961147
"Signature koicha enak, matcha milk lebih murah dan tetap enak.",1,Positif,1,Positif,2.5220142948643414
Signature Koicha enak tetapi mahal.,1,Positif,1,Positif,1.9573105984273254
Senang dengan banyaknya variasi matcha dan rasanya menyerupai di Jepang.,1,Positif,1,Positif,0.9188766623853428
Semuanya enak dan pelayanan memuaskan.,1,Positif,1,Positif,2.945793966033054
Semuanya baik.,1,Positif,1,Positif,2.98600387716688
Semua minuman dan dessert enak.,1,Positif,1,Positif,3.063744407226688
"Semua menu terasa enak, mulai dari makanan utama, minuman, hingga kue. Meskipun tempatnya minimalis, tampilannya estetik. Harga juga masih terjangkau. Sangat direkomendasikan dan akan kembali untuk mencoba menu lain.",1,Positif,1,Positif,0.39014070295563597
Semua menu enak dan autentik.,1,Positif,1,Positif,2.9684731471800316
"Semua matcha enak, staf ramah dan informatif.",1,Positif,1,Positif,2.777062664570951
"Semua makanan enak, tempatnya bagus, dan staf ramah.",1,Positif,1,Positif,1.9322426450608468
Semua makanan dan minuman enak.,1,Positif,1,Positif,2.0729004247007063
"Semua enak, pelayanan luar biasa.",1,Positif,1,Positif,2.2243063736758897
Semua baik termasuk pelayanan cepat dan ramah.,1,Positif,1,Positif,2.806619627101906
"Secara rasa cukup enak, namun beberapa menu tidak tersedia sehingga pilihan terbatas. Beberapa kombinasi rasa kurang seimbang. Secara keseluruhan cukup memuaskan.",1,Positif,1,Positif,0.21503893254888926
"Saya mengunjungi tempat ini karena saya adalah penggemar matcha. Matcha milk-nya terasa sangat enak. Selain itu, saya juga mencoba matcha cheesecake. Rasanya sangat enak, meskipun menurut saya perpaduannya kurang cocok dengan rasa matcha-nya. Namun, rasa keju pada kue tersebut sangat terasa dan lezat. Matcha opera-nya juga enak, tetapi lapisan bagian atasnya terlalu manis sehingga rasanya menjadi kurang seimbang.",1,Positif,1,Positif,0.7546386668234089
"Saya mencoba tiramisu matcha dan sakura ice cream. Rasanya enak namun tidak terlalu istimewa. Menurut saya harganya cukup mahal mengingat potongan kuenya sangat kecil, sehingga pasti akan habis dalam sekejap. Meski demikian, saya tetap berniat untuk mencoba menu lainnya di lain waktu, terutama jika terdapat promo.",1,Positif,0,Negatif,-0.5702906027570999
"Saya mencoba tempat ini karena berasal dari Singapura, dan ternyata kualitasnya cukup baik. Saya mencicipi menu unggulan mereka, yaitu Signature Koicha, dan mengganti susu sapi murni dengan susu gandum seharga Rp120.054. Anda akan mendapatkan es krim berukuran kecil jika memberikan ulasan melalui Google.",1,Positif,0,Negatif,-0.10829683098805643
"Saya memesan signature koicha milk dan houjicha milk. Secara subjektif, menurut saya rasanya masih lebih lezat dibandingkan dengan cabang yang berada di Kelapa Gading dan Grand Indonesia.",1,Positif,1,Positif,0.4752227833937817
"Saya dan pasangan saya menyukai matcha sehingga mencoba tempat ini. Kami memesan es krim matcha, houjicha tiramisu, dan matcha milk. Rasanya enak, sedikit manis dan tidak terlalu pahit. Pelayanannya sangat baik. Tempat ini cocok untuk dikunjungi jika menginginkan sesuatu yang ringan dan menyegarkan. Es krim Hokkaido juga sangat enak.",1,Positif,1,Positif,1.0083915259099059
