text,label,label_name,prediction,prediction_name,score
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,1,Positif,0.9201284504588064
Matchanya sangat enak.,1,Positif,1,Positif,0.9820954880490533
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,0,Negatif,0.12771033102787085
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,1,Positif,0.7564854723855045
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,0,Negatif,0.3344671878999397
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,1,Positif,0.6734108877942562
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,0,Negatif,0.12089848074557988
Wajib dicoba!,1,Positif,0,Negatif,0.252041875043881
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,1,Positif,0.8697531199110987
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,1,Positif,0.6904097091884402
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,1,Positif,0.9577931026734082
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,1,Positif,0.9813309081180681
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,0,Negatif,0.25787843184763715
Suasananya sangat nyaman.,1,Positif,0,Negatif,0.32662301246228487
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,1,Positif,0.9320078326702615
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,1,Positif,0.9875844243911412
Tempatnya sangat bagus dan nyaman.,1,Positif,1,Positif,0.927004191967583
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,1,Positif,0.6714890730317672
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,1,Positif,0.7112240114323024
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,0,Negatif,0.25912806705592933
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,1,Positif,0.871624307462361
Tempat yang nyaman untuk menikmati matcha.,1,Positif,1,Positif,0.9536873140127565
"Tempat terbaik untuk mendapatkan matcha premium berkualitas tinggi. Rasa matcha-nya sangat pekat, tidak terlalu manis, dan saya sangat menyukainya. Wajib dicoba bagi para pecinta matcha.",1,Positif,1,Positif,0.964954345483646
Tempat terbaik untuk menikmati matcha di Jakarta.,1,Positif,1,Positif,0.991039660514816
Kedai teh yang sangat baik untuk menikmati teh hijau.,1,Positif,0,Negatif,0.31002431408298486
Tempatnya sangat nyaman; matcha milk menjadi favorit saya. Saya juga sudah memesan plain croissant untuk ketiga kalinya.,1,Positif,1,Positif,0.7015297506194996
Ini merupakan tempat berkumpul terbaik bagi anak muda di Jakarta Selatan.,1,Positif,1,Positif,0.774979622085757
"Tempatnya sangat baik, pilihan minuman matcha beragam, begitu pula dengan makanannya. Sangat memuaskan.",1,Positif,1,Positif,0.8601094743732549
Tempatnya nyaman.,1,Positif,1,Positif,0.567093982358984
Tempatnya nyaman dan pelayanannya sangat menyenangkan. Staf yang bertugas sangat baik serta profesional. Saya sering berkunjung ke sini.,1,Positif,1,Positif,0.610758204431516
nan,1,Positif,0,Negatif,0.2512599038336369
Suasananya nyaman dan makanannya lezat.,1,Positif,1,Positif,0.9677696799505426
Tempat nyaman untuk WFH dan pelayanan ramah.,1,Positif,1,Positif,0.9896667480453132
Tempat nyaman untuk nongkrong.,1,Positif,1,Positif,0.7728972089001893
"Tempat nyaman untuk meeting, staf sangat profesional dan ramah.",1,Positif,1,Positif,0.8957602553725458
Tempat nyaman untuk kerja.,1,Positif,1,Positif,0.7728972089001893
"Tempat nyaman karena berada di mall. Pelayanan ramah dan cepat. Matcha milk memiliki rasa dominan matcha, tidak terlalu manis dan cukup seimbang.",1,Positif,1,Positif,0.9766321520699336
Tempat nyaman dengan matcha enak.,1,Positif,1,Positif,0.9924022332027026
Tempat nyaman dan pelayanan ramah.,1,Positif,1,Positif,0.9689476794241252
Tempat nyaman dan pelayanan baik.,1,Positif,1,Positif,0.9942228839321593
Tempat nyaman dan matchanya enak.,1,Positif,1,Positif,0.9927579235510595
Tempat nyaman dan makanan sesuai selera.,1,Positif,1,Positif,0.973302759862151
Tempat nyaman dan bersih.,1,Positif,1,Positif,0.9806462296080802
"Tempat menarik, matcha berkualitas tapi mahal dan service standar.",1,Positif,1,Positif,0.9819687930463513
Tempat memiliki suasana nyaman dengan minuman matcha berkualitas tinggi dan pelayanan baik.,1,Positif,1,Positif,0.9932738023420837
Tempat matcha terbaik di Jakarta Selatan dengan rasa tidak terlalu manis namun sangat enak. Hojicha milk menjadi menu favorit. Cocok dipadukan dengan dessert seperti almond croissant. Pelayanan baik dan tempat bersih.,1,Positif,1,Positif,0.9364457016987952
Tempat ini menawarkan desain yang mewah dan modern.,1,Positif,1,Positif,0.8706649760153758
Tempat ini berfokus pada matcha dengan berbagai pilihan menu.,1,Positif,1,Positif,0.9555299395168217
Tempat favorit.,1,Positif,1,Positif,0.6288501170008005
Tempat enak untuk makan dan santai.,1,Positif,1,Positif,0.9891065206531304
Tempat dan suasana sangat baik.,1,Positif,1,Positif,0.9694416397763426
Tempat dan makanan enak.,1,Positif,1,Positif,0.9835811271576207
Tempat cozy dan pelayanan ramah.,1,Positif,1,Positif,0.9521410908753489
Tempat cozy dan makanan enak.,1,Positif,1,Positif,0.9835811271576207
Tempat cocok untuk WFA dan menu enak.,1,Positif,1,Positif,0.9835811271576207
Tempat cocok untuk pecinta matcha.,1,Positif,1,Positif,0.9757685486259755
Tempat bersih dan nyaman untuk kerja.,1,Positif,1,Positif,0.9782868904939873
Tempat bersih dan menu variatif.,1,Positif,1,Positif,0.9486081805647841
Tempat bagus.,1,Positif,1,Positif,0.658431488277194
Tempat bagus untuk nongkrong.,1,Positif,1,Positif,0.7439821730885483
Tempat bagus untuk coba matcha.,1,Positif,1,Positif,0.9808572358565123
Tempat bagus dengan rasa yang enak.,1,Positif,1,Positif,0.8046071519659268
Tempat bagus dan nyaman.,1,Positif,1,Positif,0.9856815744740028
Suka matcha milk dan ambience.,1,Positif,1,Positif,0.9837166783189178
"Suka ambience, ingin kembali.",1,Positif,0,Negatif,0.40381264979916975
