text,label,label_name,prediction,prediction_name,score
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,0,Negatif,0.46690046283124226
Matchanya sangat enak.,1,Positif,1,Positif,0.9890041333163906
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,1,Positif,0.8085200210501167
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,0,Negatif,0.4808131660449212
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,1,Positif,0.5933624246739253
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,1,Positif,0.8883580447256613
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,1,Positif,0.7494347552778405
Wajib dicoba!,1,Positif,1,Positif,0.8460709612627209
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,1,Positif,0.722277700738743
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,0,Negatif,0.4852594428843333
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,1,Positif,0.7969443583293265
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,1,Positif,0.9887072447263529
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,1,Positif,0.7509641124051049
Suasananya sangat nyaman.,1,Positif,1,Positif,0.726837866135068
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,1,Positif,0.819058803641834
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,1,Positif,0.5995480811563606
Tempatnya sangat bagus dan nyaman.,1,Positif,1,Positif,0.9820151739777687
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,1,Positif,0.5577542282667616
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,1,Positif,0.812991534063077
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,1,Positif,0.6239088182188343
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,1,Positif,0.8875152714861223
Tempat yang nyaman untuk menikmati matcha.,1,Positif,1,Positif,0.9490489572922365
"Tempat terbaik untuk mendapatkan matcha premium berkualitas tinggi. Rasa matcha-nya sangat pekat, tidak terlalu manis, dan saya sangat menyukainya. Wajib dicoba bagi para pecinta matcha.",1,Positif,1,Positif,0.9681989961814994
Tempat terbaik untuk menikmati matcha di Jakarta.,1,Positif,1,Positif,0.9375899320998726
Kedai teh yang sangat baik untuk menikmati teh hijau.,1,Positif,0,Negatif,0.27736392203346655
Tempatnya sangat nyaman; matcha milk menjadi favorit saya. Saya juga sudah memesan plain croissant untuk ketiga kalinya.,1,Positif,1,Positif,0.8808471925526359
Ini merupakan tempat berkumpul terbaik bagi anak muda di Jakarta Selatan.,1,Positif,1,Positif,0.716786004240074
"Tempatnya sangat baik, pilihan minuman matcha beragam, begitu pula dengan makanannya. Sangat memuaskan.",1,Positif,1,Positif,0.9401756054750483
Tempatnya nyaman.,1,Positif,1,Positif,0.9091817461325947
Tempatnya nyaman dan pelayanannya sangat menyenangkan. Staf yang bertugas sangat baik serta profesional. Saya sering berkunjung ke sini.,1,Positif,0,Negatif,0.49454019676610794
nan,1,Positif,0,Negatif,0.3747832984525445
Suasananya nyaman dan makanannya lezat.,1,Positif,1,Positif,0.9617423665118525
Tempat nyaman untuk WFH dan pelayanan ramah.,1,Positif,1,Positif,0.9910323238476104
Tempat nyaman untuk nongkrong.,1,Positif,1,Positif,0.9502540442271831
"Tempat nyaman untuk meeting, staf sangat profesional dan ramah.",1,Positif,1,Positif,0.8827600240965117
Tempat nyaman untuk kerja.,1,Positif,1,Positif,0.8708720923375918
"Tempat nyaman karena berada di mall. Pelayanan ramah dan cepat. Matcha milk memiliki rasa dominan matcha, tidak terlalu manis dan cukup seimbang.",1,Positif,1,Positif,0.9466167387267137
Tempat nyaman dengan matcha enak.,1,Positif,1,Positif,0.9953269537480065
Tempat nyaman dan pelayanan ramah.,1,Positif,1,Positif,0.9969112185439476
Tempat nyaman dan pelayanan baik.,1,Positif,1,Positif,0.9990653907496013
Tempat nyaman dan matchanya enak.,1,Positif,1,Positif,1.0
Tempat nyaman dan makanan sesuai selera.,1,Positif,1,Positif,0.8342858247247678
Tempat nyaman dan bersih.,1,Positif,1,Positif,0.9737213055867696
"Tempat menarik, matcha berkualitas tapi mahal dan service standar.",1,Positif,1,Positif,0.7651462105463754
Tempat memiliki suasana nyaman dengan minuman matcha berkualitas tinggi dan pelayanan baik.,1,Positif,1,Positif,0.988363392456991
Tempat matcha terbaik di Jakarta Selatan dengan rasa tidak terlalu manis namun sangat enak. Hojicha milk menjadi menu favorit. Cocok dipadukan dengan dessert seperti almond croissant. Pelayanan baik dan tempat bersih.,1,Positif,1,Positif,0.9717998190463613
Tempat ini menawarkan desain yang mewah dan modern.,1,Positif,1,Positif,0.6768620413302052
Tempat ini berfokus pada matcha dengan berbagai pilihan menu.,1,Positif,1,Positif,0.8090704164900935
Tempat favorit.,1,Positif,1,Positif,0.8986085219980312
Tempat enak untuk makan dan santai.,1,Positif,1,Positif,0.9078851769672521
Tempat dan suasana sangat baik.,1,Positif,1,Positif,0.9283614350199346
Tempat dan makanan enak.,1,Positif,1,Positif,0.9885863907711764
Tempat cozy dan pelayanan ramah.,1,Positif,1,Positif,0.9970653907496013
Tempat cozy dan makanan enak.,1,Positif,1,Positif,0.9984556092719739
Tempat cocok untuk WFA dan menu enak.,1,Positif,1,Positif,0.9413971757714589
Tempat cocok untuk pecinta matcha.,1,Positif,1,Positif,0.9644744573053945
Tempat bersih dan nyaman untuk kerja.,1,Positif,1,Positif,0.9158965107826347
Tempat bersih dan menu variatif.,1,Positif,1,Positif,0.9157661295626157
Tempat bagus.,1,Positif,1,Positif,0.9456567314287085
Tempat bagus untuk nongkrong.,1,Positif,1,Positif,0.9501604314972796
Tempat bagus untuk coba matcha.,1,Positif,1,Positif,0.9683342016021041
Tempat bagus dengan rasa yang enak.,1,Positif,1,Positif,0.9728421944727677
Tempat bagus dan nyaman.,1,Positif,1,Positif,0.9929112185439477
Suka matcha milk dan ambience.,1,Positif,1,Positif,0.9938458277943463
"Suka ambience, ingin kembali.",1,Positif,1,Positif,0.742781297704746
Suasana tempat baik dan terlihat baru.,1,Positif,1,Positif,0.6677290839516682
Suasana dan makanan baik.,1,Positif,1,Positif,0.8783886233033104
"Staf ramah, suasana nyaman, dan matcha sangat enak.",1,Positif,1,Positif,0.9919222592053256
