text,label,label_name,prediction,prediction_name,score
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,1,Positif,0.7339966559137192
Matchanya sangat enak.,1,Positif,1,Positif,0.9084065736951262
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,0,Negatif,0.46964691971518036
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,0,Negatif,0.45791562292319415
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,0,Negatif,0.4471086142756461
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,1,Positif,0.8953460304584575
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,1,Positif,0.5822500599502445
Wajib dicoba!,1,Positif,1,Positif,0.7605052597177202
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,1,Positif,0.7471873275209598
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,1,Positif,0.7729425235382845
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,1,Positif,0.7555754295546666
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,1,Positif,0.937893099081959
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,1,Positif,0.5493570474785927
Suasananya sangat nyaman.,1,Positif,1,Positif,0.8412416213934782
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,1,Positif,0.7647799741844183
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,1,Positif,0.6380455147859367
Tempatnya sangat bagus dan nyaman.,1,Positif,1,Positif,0.8891071392273509
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,0,Negatif,0.48565745522469606
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,1,Positif,0.7311873782110275
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,0,Negatif,0.435314718516533
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,1,Positif,0.7407377637425443
Tempat yang nyaman untuk menikmati matcha.,1,Positif,1,Positif,0.8064965742516849
