text,label,label_name,kategori,stars,source_column
"Tempat sepi, matcha strong dan tidak terlalu manis.",1,Positif,"Tempat, Rasa",5.0,perbaikan
Matchanya sangat enak.,1,Positif,Rasa,5.0,perbaikan
"Matcha sangat autentik dan berkualitas tinggi, tetapi cukup mahal. Cocok untuk yang suka rasa pahit, perlu tambahan gula jika suka manis.",1,Positif,"Rasa, Harga",4.0,perbaikan
"Matcha Opera-nya wajib untuk dipesan. Rasa Matcha Milk-nya tergolong biasa saja. Tadi saya memesan takaran susu less (80/120) dengan tingkat gula dan green tea yang normal, namun hasilnya justru tidak terlalu manis. Saya pasti akan kembali membeli menu Matcha Opera-nya.",1,Positif,Rasa,4.0,perbaikan
"Saya mencoba mixed soft ice cream (matcha-hokkaido milk) dan hojicha mocktail. Mixed Ice Cream: Tingkat kemanisan: Sudah cukup baik. Rasa matcha: Terasa pas. Hokkaido milk: Perasanya terlalu kuat sehingga sangat mendominasi dan mengganggu kelezatan rasa matcha-nya. Hal ini membuat perpaduan rasanya menjadi tidak seimbang. Hojicha Mocktail: Sesapan pertama terasa enak. Aroma mawar dan lavendernya memiliki keseimbangan yang baik. Namun, setelah beberapa sesapan berikutnya, saya merasa kurang nyaman karena penggunaan sirup yang terlalu banyak. (Saya cukup sensitif terhadap perasa buatan, sehingga sering kali muncul reaksi tertentu setelah meminumnya beberapa kali).",1,Positif,Rasa,4.0,perbaikan
"Suasananya sangat nyaman, para pecinta matcha wajib mencobanya!",1,Positif,Tempat,5.0,perbaikan
"Warabi mochi-nya sangat luar biasa. Begitu pula dengan Signature Koicha Milk, rasanya sangat berkualitas. Saya juga mendapatkan es krim secara gratis. Terima kasih kepada Kak Desi atas pelayanannya yang sangat ramah.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Wajib dicoba!,1,Positif,Umum,5.0,perbaikan
"Pilihannya sangat beragam, staf sangat membantu, dan suasananya pun sangat nyaman.",1,Positif,"Rasa, Pelayanan, Tempat",5.0,perbaikan
Terima kasih kepada Hamny atas pelayanannya dan informasi mengenai matcha.,1,Positif,Pelayanan,5.0,perbaikan
"Tempatnya sangat nyaman, Anda harus mencoba matcha mereka!",1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempatnya nyaman dan makanannya berkualitas baik.,1,Positif,"Tempat, Rasa",5.0,perbaikan
"Tempatnya nyaman, begitu pula dengan matcha-nya. Perpaduan yang sangat pas.",1,Positif,"Tempat, Rasa",5.0,perbaikan
Suasananya sangat nyaman.,1,Positif,Tempat,5.0,perbaikan
Suasananya sangat nyaman dan matcha-nya lezat.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempatnya memungkinkan pelanggan untuk menonton konser; minumannya asli dan enak.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempatnya sangat bagus dan nyaman.,1,Positif,Tempat,4.0,perbaikan
"Tempat ini merupakan surga bagi para pecinta matcha dan wajib untuk dicoba. Semua menunya lezat dan tidak ada yang mengecewakan. Pelayanannya sangat ramah, terutama saudara Hamny yang memberikan rekomendasi menu yang sangat sesuai dengan selera saya. Terima kasih.",1,Positif,"Rasa, Pelayanan",5.0,perbaikan
Tempat yang sangat bagus untuk menikmati matcha! Tersedia banyak variasi matcha untuk makanan dan minuman. Rasa mochi-nya sangat unik!,1,Positif,Rasa,5.0,perbaikan
"Salah satu dari sedikit tempat di Jakarta di mana Anda bisa mendapatkan hidangan penutup dan minuman matcha yang berkualitas. Saya mencoba soft serve dan warabi mochi; matcha mochi-nya sedikit lebih pahit, tetapi Anda bisa memilih untuk memesan satu jenis saja.",1,Positif,Rasa,5.0,perbaikan
Tempat matcha yang sangat bagus untuk makan dan berkumpul.,1,Positif,"Tempat, Rasa",5.0,perbaikan
Tempat yang nyaman untuk menikmati matcha.,1,Positif,Tempat,5.0,perbaikan
